# PetAccActNameTable_Eng (n=43) from petinfo.lub
10001	ACC_BAPHOMET.act
10002	ACC_CHOCHO.act
10003	ACC_DESERT_WOLF_B.act
10004	ACC_DEVIRUCHI.act
10005	ACC_DOKEBI.act
10006	ACC_ISIS.act
10007	ACC_LUNATIC.act
10008	ACC_MUNAK.act
10009	ACC_ORK_WARRIOR.act
10010	ACC_PECOPECO.act
10011	ACC_PETIT.act
10012	ACC_PICKY.act
10013	ACC_PORING.act
10014	ACC_ROCKER.act
10015	ACC_SAVAGE_BABE.act
10016	ACC_SOHEE.act
10017	ACC_SPORE.act
10018	ACC_YOYO.act
10019	ACC_SMOKIE.act
10020	ACC_BONGUN.act
10021	ACC_BACSOJIN.act
10022	ACC_CIVIL_SERVANT.act
10023	ACC_LEAF_CAT.act
10024	ACC_LOLIRURI.act
10025	ACC_MARIONETTE.act
10026	ACC_SHINOBI.act
10027	ACC_WHISPER.act
10028	ACC_GOBLIN_LEADER.act
10029	ACC_WICKED_NYMPH.act
10030	ACC_MIYABI_NINGYO.act
10031	ACC_DULLAHAN.act
10032	ACC_MEDUSA.act
10033	ACC_STONE_SHOOTER.act
10034	ACC_INCUBUS.act
10035	ACC_GOLEM.act
10036	ACC_NIGHTMARE_TERROR.act
10037	ACC_SUCCUBUS.act
10038	ACC_IMP.act
10040	ACC_SCATLETON.act
10042	ACC_SKELION.act
10043	acc_child_admin1.act
10044	acc_child_admin2.act
10045	ACC_DUCKLING.act
