# WeaponNameTable (n=102) from weapontable.lub
0	
1	_단검
10	_롯드
100	_강아지풀_녹색
101	_캔디케인롯드
102	_강아지풀_메탈
11	_활
12	_너클
13	_악기
14	_채찍
15	_책
16	_카타르_카타르
17	_권총
18	_라이플
19	_기관총
2	_검
20	_샷건
21	_샷건
22	_수리검
23	_롯드
25	_단검_단검
26	_검_검
27	_도끼_도끼
28	_단검_검
29	_단검_도끼
3	_양손검
30	_검_도끼
31	_1207
32	_1216
33	_1219
34	_1238
35	_1239
36	_1240
37	_1144
38	_13049
39	_1119
4	_창
40	_1122
41	_1123
42	_1126
43	_1142
44	_1143
45	_13412
46	_13413
47	_13428
48	_1116
49	_1154
5	_양손창
50	_1160
51	_1185
52	_1410
53	_1457
54	_1460
55	_1463
56	_1466
57	_1468
58	_1354
59	_1357
6	_도끼
60	_1363
61	_1366
62	_1504
63	_1516
64	_1519
65	_1522
66	_1524
67	_1529
68	_1531
69	_1610
7	_양손도끼
70	_1613
71	_1614
72	_1615
73	_1710
74	_1713
75	_1714
76	_1718
77	_1720
78	_1801
79	_1803
8	_클럽
80	_1805
81	_1807
82	_1809
83	_1811
84	_1813
85	_1814
86	_1956
87	_1958
88	_1960
89	_1550
9	_클럽
90	_1553
91	_1554
92	_1555
93	_1556
94	_1557
95	_1558
96	_1472
97	_1473
98	_16039
99	_강아지풀_갈색
