# PetAccIDs (n=46) from petinfo.lub
ACC_BACSOJIN	10021
ACC_BAG_OF_TAIWAN	10039
ACC_BAPHOMET	10001
ACC_BONGUN	10020
ACC_CHOCHO	10002
ACC_CIVIL_SERVANT	10022
ACC_DESERT_WOLF_B	10003
ACC_DEVIRUCHI	10004
ACC_DOKEBI	10005
ACC_DULLAHAN	10031
ACC_EP17_2_CHILD_ADMIN1	10043
ACC_EP17_2_CHILD_ADMIN2	10044
ACC_FIRST	10000
ACC_GOBLIN_LEADER	10028
ACC_GOLEM	10035
ACC_IMP	10038
ACC_INCUBUS	10034
ACC_ISIS	10006
ACC_LAST	10046
ACC_LEAF_CAT	10023
ACC_LOLIRURI	10024
ACC_LUNATIC	10007
ACC_MARIONETTE	10025
ACC_MEDUSA	10032
ACC_MIYABI_NINGYO	10030
ACC_MUNAK	10008
ACC_NIGHTMARE_TERROR	10036
ACC_ORK_WARRIOR	10009
ACC_PECOPECO	10010
ACC_PETIT	10011
ACC_PICKY	10012
ACC_PORING	10013
ACC_ROCKER	10014
ACC_SAVAGE_BABE	10015
ACC_SCATLETON	10040
ACC_SHINOBI	10026
ACC_SKELION	10042
ACC_SMOKIE	10019
ACC_SOHEE	10016
ACC_SPORE	10017
ACC_STONE_SHOOTER	10033
ACC_SUCCUBUS	10037
ACC_WANDERING_DUCK	10045
ACC_WHISPER	10027
ACC_WICKED_NYMPH	10029
ACC_YOYO	10018
