accId	ACCESSORY_name	sprite
1	ACCESSORY_GOGGLES	_고글
2	ACCESSORY_CATTYHAIRBAND	_고양이머리띠
3	ACCESSORY_GLASS	_글래스
4	ACCESSORY_FLOWER	_꽃
5	ACCESSORY_FLORALHAIRBAND	_꽃머리띠
6	ACCESSORY_HOOD	_두건
7	ACCESSORY_ROUNDCAP	_둥근모자
8	ACCESSORY_FLUMASK	_마스크
9	ACCESSORY_HAIRBAND	_머리띠
10	ACCESSORY_DIVERSGOGGLES	_물안경
11	ACCESSORY_BIRETTA	_비레타
12	ACCESSORY_SUNGLASS	_선글래스
13	ACCESSORY_EYEBANDAGE	_안대
14	ACCESSORY_CAP	_캡
15	ACCESSORY_BUNNYBAND	_토끼머리띠
16	ACCESSORY_HAT	_햇
17	ACCESSORY_RIBBON	_리본
18	ACCESSORY_CIRCLET	_서클릿
19	ACCESSORY_TIARA	_티아라
20	ACCESSORY_SANTAHAT	_산타모자
21	ACCESSORY_BEARD	_턱수염
22	ACCESSORY_MUSTACHE	_콧수염
23	ACCESSORY_SPECTACLE	_외눈안경
24	ACCESSORY_BLACK_BEARD	_수염
25	ACCESSORY_WHITE_BEARD	_흰수염
26	ACCESSORY_QUALITY_SUNGLASS	_고급선글래스
27	ACCESSORY_SPIN_GLASS	_스핀글래스
28	ACCESSORY_LARGE_RIBBON	_왕리본
29	ACCESSORY_SWEET_GENTLE	_스위트젠틀
30	ACCESSORY_GOLDEN_HEADGEAR	_골든헤드기어
31	ACCESSORY_OLDSTER_ROMANCE	_올드스터로맨스
32	ACCESSORY_WESTERN_GRACE	_웨스턴그레이스
33	ACCESSORY_CORONET	_코로넷
34	ACCESSORY_HAIR_STRING	_머리끈
35	ACCESSORY_PRIEST_CAP	_성직자의모자
36	ACCESSORY_WIZARD_HAT	_위저드햇
37	ACCESSORY_SUNFLOWER	_장식용해바라기
38	ACCESSORY_ANGEL_HAIRBAND	_천사의머리띠
39	ACCESSORY_DEVIL_HAIRBAND	_악마의머리띠
40	ACCESSORY_HELM	_헬름
