# SKILL_INFO_LIST (n=1554) from skillinfolist.lub
ABC_ABYSS_DAGGER	{1=ABC_ABYSS_DAGGER;AttackRange=[1,1,1,1,1];MaxLv=5;SkillName=Abyss Dagger;SpAmount=[60,64,68,72,76];_NeedSkillList=[[SC_FATALMENACE,5],[ABC_DAGGER_AND_BOW_M,3]];bSeperateLv=true}
ABC_ABYSS_SLAYER	{1=ABC_ABYSS_SLAYER;ApAmount=[150,150,150,150,150,150,150,150,150,150];AttackRange=[1,1,1,1,1,1,1,1,1,1];MaxLv=10;SkillName=Abyss Slayer;SpAmount=[100,100,100,100,100,100,100,100,100,100];_NeedSkillList=[[ABC_ABYSS_DAGGER,5],[ABC_DEFT_STAB,5]];bSeperateLv=true}
ABC_ABYSS_SQUARE	{1=ABC_ABYSS_SQUARE;AttackRange=[9,9,9,9,9];MaxLv=5;SkillName=Abyss Square;SpAmount=[65,75,85,95,105];_NeedSkillList=[[ABC_MAGIC_SWORD_M,5],[ABC_FROM_THE_ABYSS,1]];bSeperateLv=true}
ABC_ABYSS_STRIKE	{1=ABC_ABYSS_STRIKE;ApAmount=[15,15,15,15,15,15,15,15,15,15];AttackRange=[9,9,9,9,9,9,9,9,9,9];MaxLv=10;SkillName=Omega Abyss Strike;SpAmount=[125,125,125,125,125,125,125,125,125,125];_NeedSkillList=[[ABC_FROM_THE_ABYSS,3],[ABC_ABYSS_SQUARE,3]];bSeperateLv=true}
ABC_CHAIN_REACTION_SHOT	{1=ABC_CHAIN_REACTION_SHOT;AttackRange=[9,9,9,9,9];MaxLv=5;SkillName=Chain Reaction Shot;SpAmount=[35,45,55,65,75];_NeedSkillList=[[SC_TRIANGLESHOT,5],[ABC_DAGGER_AND_BOW_M,3]];bSeperateLv=true}
ABC_CHAIN_REACTION_SHOT_ATK	{1=ABC_CHAIN_REACTION_SHOT_ATK;AttackRange=[9,9,9,9,9];MaxLv=5;SkillName=Chain Reaction Shot;SpAmount=[0,0,0,0,0];bSeperateLv=true}
ABC_DAGGER_AND_BOW_M	{1=ABC_DAGGER_AND_BOW_M;AttackRange=[1,1,1,1,1,1,1,1,1,1];MaxLv=10;SkillName=Dagger Bow Mastery;SpAmount=[0,0,0,0,0,0,0,0,0,0];bSeperateLv=false}
ABC_DEFT_STAB	{1=ABC_DEFT_STAB;AttackRange=[2,2,2,2,2,2,2,2,2,2];MaxLv=10;SkillName=Deft Stab;SpAmount=[45,48,51,54,57,60,63,66,69,72];_NeedSkillList=[[ABC_ABYSS_DAGGER,3],[ABC_DAGGER_AND_BOW_M,5]];bSeperateLv=true}
ABC_FRENZY_SHOT	{1=ABC_FRENZY_SHOT;AttackRange=[9,9,9,9,9,9,9,9,9,9];MaxLv=10;SkillName=Frenzy Shot;SpAmount=[47,49,51,53,55,57,59,61,63,65];_NeedSkillList=[[ABC_CHAIN_REACTION_SHOT,3],[ABC_DAGGER_AND_BOW_M,5]];bSeperateLv=true}
ABC_FROM_THE_ABYSS	{1=ABC_FROM_THE_ABYSS;AttackRange=[1,1,1,1,1];MaxLv=5;SkillName=From the Abyss;SpAmount=[40,50,60,70,80];_NeedSkillList=[[ABC_MAGIC_SWORD_M,3]];bSeperateLv=true}
ABC_FROM_THE_ABYSS_ATK	{1=ABC_FROM_THE_ABYSS_ATK;AttackRange=[3,3,3,3,3];MaxLv=5;SkillName=From the Abyss;SpAmount=[0,0,0,0,0];bSeperateLv=true}
