0	ST_STAND
1	ST_MOVE
2	ST_ATTACK
3	ST_DEAD
4	ST_DAMAGE
5	ST_PICKUP
6	ST_SIT
7	ST_SKILL
8	ST_BEGIN_SKILL
9	ST_ATTACK2
10	ST_SLEEP
11	ST_ATTACKWAIT
12	ST_THROW
13	ST_AUTOCOUNTER
14	ST_LEFT
15	ST_RIGHT
16	ST_DANCE
17	ST_SING
18	ST_READYSHOT
19	ST_READYJUMP
20	ST_LANDJUMP
21	ST_R_STORM
22	ST_R_DOWN
23	ST_R_TURN
24	ST_R_COUNTER
25	ST_R_DODGE
26	ST_A_COUNTER
27	ST_A_JUMPKICK
28	ST_THROW2
29	ST_FEED
30	ST_A_STORM
31	ST_A_DOWN
32	ST_A_TURN
33	ST_SG_DOWN
34	ST_SG_TURN
35	ST_NINJASKILL1
36	ST_NINJASKILL2
37	ST_NINJAREADY
38	ST_GUNSKILL1
39	ST_GUNSKILL2
40	ST_GUNSKILL3
41	ST_GUNREADY
42	ST_GUNREADY2
43	ST_MADOSKILL
44	ST_MADOSKILL2
45	ST_AB_SPECIAL
