FUN_005c25a0	-	type=-	life=-	tex=-
FUN_005c2630	-	type=-	life=-	tex=-
FUN_005c3670	-	type=-	life=-	tex=-
FUN_005c3cb0	-	type=0x,	life=-	tex=ring_blue_tga 
FUN_005c3fe0	-	type=0x,5,6,	life=-	tex=ring_blue_tga 
FUN_005c46a0	EF_hit2	type=0,0x,	life=0xf	tex=lens1_tga lens2_tga 
FUN_005c4a20	EF_hit3	type=0x,5,	life=0xf	tex=lens2_tga 
FUN_005c5050	EF_hit4	type=0x,5,	life=0xf	tex=lens2_tga 
FUN_005c5540	EF_hit5	type=0,	life=0x11	tex=lens2_tga 
FUN_005c57c0	EF_hit6	type=0,0x,	life=0x11	tex=alpha_down_tga lens2_tga ring_blue_tga 
FUN_005c5a40	-	type=0x,7,	life=0x37	tex=alpha_down_tga ring_blue_tga 
FUN_005c5d30	EF_BeginSpell	type=0x,7,	life=0x32	tex=alpha_down_tga ring_yellow_tga 
FUN_005c6030	EF_BeginSpell	type=0x,7,	life=0x28	tex=ring_blue_tga ring_yellow_tga 
FUN_005c6420	EF_BeginSpell	type=0x,	life=-	tex=ring_blue_tga ring_white_tga ring_yellow_tga 
FUN_005c64a0	EF_BeginSpell	type=0x,	life=-	tex=ring_blue_tga ring_white_tga ring_yellow_tga 
FUN_005c6520	EF_BeginSpell	type=0x,	life=-	tex=ring_blue_tga ring_white_tga ring_yellow_tga 
FUN_005c65a0	EF_BeginSpell	type=0x,	life=-	tex=ring_blue_tga ring_white_tga ring_yellow_tga 
FUN_005c6620	EF_BeginSpell	type=0x,	life=-	tex=alpha_down_tga ring_blue_tga ring_white_tga 
FUN_005c66b0	EF_BeginSpell	type=0x,5,	life=0x50	tex=alpha_down_tga ring_blue_tga 
FUN_005c6730	EF_GlassWall	type=0x,5,	life=0x50	tex=alpha_down_tga ring_blue_tga 
FUN_005c6af0	EF_Blessing	type=0,0x,5,	life=0x50	tex=alpha_down_tga dex_agi_up_bmp 
FUN_005c6f80	EF_IncAgiDex	type=0,0x,0x10,	life=0x32	tex=ac_center2_tga alpha_down_tga dex_agi_up_bmp 
FUN_005c7360	EF_SoulStrike	type=0x,7,8,	life=0x1e	tex=alpha_down_tga 
FUN_005c7920	EF_SoulStrike	type=3,4,8,	life=0x28	tex=alpha_down_tga 
FUN_005c7c70	EF_Bash	type=0x,3,4,	life=0x28	tex=alpha_down_tga ring_yellow_tga 
FUN_005c8040	EF_MagnumBreak	type=0x,5,6,	life=0x1e	tex=ring_yellow_tga 
FUN_005c8400	EF_Steal	type=5,6,	life=0x28	tex=-
FUN_005c8710	EF_Detoxication	type=5,	life=0x28	tex=-
FUN_005c8ad0	-	type=5,	life=0x8c	tex=-
FUN_005c8c70	-	type=0,5,	life=0x8c	tex=sand1_bmp 
FUN_005c8fc0	-	type=0,0x,5,	life=0x82	tex=pond_water_bmp sand1_bmp 
FUN_005c9230	-	type=0x,5,	life=0x82	tex=alpha_center_tga alpha_down_tga pond_water_bmp 
FUN_005c9360	-	type=0x,5,	life=0x82	tex=alpha_center_tga alpha_down_tga pond_water_bmp 
FUN_005c97f0	-	type=0x,0x10,0x15,5,	life=0x32	tex=alpha_down_tga ring_yellow_tga 
FUN_005c9960	-	type=0x,0x10,0x15,	life=0x32	tex=alpha_down_tga ring_yellow_tga 
FUN_005c9da0	-	type=0x15,6,	life=0x140	tex=-
FUN_005c9ff0	EF_Endure	type=0,6,	life=0x28	tex=endure_tga 
FUN_005ca2b0	EF_Endure	type=0,5,	life=0x28	tex=alpha_down_tga endure_tga 
FUN_005ca6f0	-	type=5,	life=0x14	tex=-
FUN_005ca9a0	EF_FireBall	type=5,	life=0x14	tex=-
FUN_005cab90	EF_FireBall	type=0x,0x10,5,	life=0x14	tex=icearrow_tga ring_blue_tga 
FUN_005cae20	EF_IceArrow_d	type=0x,0x10,9,	life=0x46	tex=icearrow_tga ring_blue_tga 
FUN_005cb290	EF_FrostDiver2	type=9,	life=0x28	tex=ice_tga 
FUN_005cb720	EF_FrostDiver2	type=0x10,5,9,	life=0x28	tex=ice_tga 
FUN_005cba20	magician_thunderstorm	type=0x10,5,	life=0x46	tex=-
FUN_005cba90	EF_ThunderStorm	type=0x10,5,	life=0x46	tex=-
FUN_005cbbe0	EF_FireArrow_d	type=0x,0x10,5,	life=0x46	tex=ring_yellow_tga 
FUN_005cc300	EF_NapalmBeat	type=0,0x,5,	life=0x1e	tex=-
FUN_005cc5d0	EF_Teleportation	type=0x,5,	life=0x19	tex=ring_blue_tga 
FUN_005cc830	EF_Teleportation	type=0x,	life=0x3c	tex=ring_blue_tga 
FUN_005cc990	EF_ReadyPortal	type=0,0x,	life=0x1e	tex=ring_blue_tga 
FUN_005ccb30	EF_IncAgility	type=0,0x,0x10,	life=0x1e	tex=agi_up_bmp ring_blue_tga 
FUN_005cced0	EF_IncAgility	type=0,0x10,	life=0x32	tex=ac_center2_tga agi_up_bmp 
FUN_005cd2b0	EF_DecAgility	type=0,0x10,5,	life=0x32	tex=ac_center2_tga slow_bmp 
FUN_005cd6a0	EF_Aqua	type=0,2,5,	life=0x1e	tex=-
FUN_005cd7c0	-	type=0,2,	life=0x1e	tex=ice_tga 
FUN_005cd990	-	type=0,0x,2,5,	life=0xf	tex=ice_tga smoke_tga 
FUN_005cde50	-	type=0x,5,7,	life=0x9e	tex=alpha_down_tga ring_blue_tga 
FUN_005cdf20	-	type=0x,7,	life=0x9e	tex=alpha_down_tga ring_blue_tga 
FUN_005ce290	wizard_sightrasher	type=0x,5,7,	life=0x9e	tex=alpha_down_tga ring_blue_tga 
FUN_005ce790	wizard_sightrasher	type=0x,5,	life=0x55	tex=ring_yellow_tga 
FUN_005cedd0	-	type=0x,7,	life=0xfa	tex=-
FUN_005ceeb0	-	type=0x,7,	life=0x14	tex=-
FUN_005cf050	-	type=0x,7,	life=0x14	tex=ring_blue_tga ring_yellow_tga 
FUN_005cf3c0	wizard_icewall	type=0x,9,	life=0x14	tex=ice_tga ring_blue_tga ring_yellow_tga stone_bmp 
FUN_005cf710	wizard_icewall	type=9,	life=0xf0	tex=ice_tga stone_bmp 
FUN_005cf9f0	wizard_earthspike	type=9,	life=0xf0	tex=ice_tga stone_bmp 
FUN_005cffa0	EF_Bash	type=0x,3,4,5,	life=0x14	tex=alpha_down_tga ring_liner_tga 
FUN_005d05d0	EF_FireBall	type=0x,5,6,	life=0xf	tex=ring_yellow_tga 
FUN_005d0820	-	type=0x,5,6,	life=0xf	tex=ring_yellow_tga 
FUN_005d0f50	hunter_shockwavetrap	type=0x,	life=0x14	tex=pokjuk_d_bmp thunder_ball_a_bmp thunder_ball_b_bmp thunder_ball_c_bmp thunder_ball_d_bmp thunder_ball_e_bmp thunder_ball_f_bmp thunder_center_bmp thunder_pang_bmp twirl_soft_bmp 
FUN_005d1480	-	type=0x,3,	life=0x50	tex=pokjuk_d_bmp thunder_ball_b_bmp thunder_ball_c_bmp thunder_ball_d_bmp thunder_ball_e_bmp thunder_ball_f_bmp thunder_pang_bmp twirl_soft_bmp 
FUN_005d1860	hunter_flasher	type=0x,3,7,	life=0x50	tex=-
FUN_005d1cb0	hunter_flasher	type=0x,3,7,	life=0x46	tex=thunder_center_bmp 
FUN_005d2160	hunter_removetrap	type=0x,0x10,7,	life=0x32	tex=ac_center2_tga 
FUN_005d2350	hunter_blitzbeat_1st	type=0x,0x10,	life=0x14	tex=ac_center2_tga magic_green_tga 
FUN_005d2960	-	type=0x,	life=-	tex=magic_green_tga magic_violet_tga 
FUN_005d2cd0	-	type=0x,8,	life=0x28	tex=magic_green_tga water_out_a_bmp water_out_b_bmp water_out_c_bmp 
FUN_005d2ff0	wizard_fire_ivy	type=0x,8,	life=0x28	tex=fashasha_tga fire_ivy_bmp water_out_a_bmp water_out_b_bmp water_out_c_bmp 
FUN_005d31e0	wizard_fire_ivy	type=0x,8,	life=0x28	tex=fashasha_tga fire_ivy_bmp 
FUN_005d3460	wizard_fire_ivy	type=0x,4,	life=0x39	tex=alpha_center_tga fashasha_tga fire_ivy_bmp 
FUN_005d35e0	hunter_detecting	type=0x,4,	life=0x39	tex=alpha_center_tga fashasha_tga 
FUN_005d37d0	assasin_cloaking	type=0x,4,	life=0xc	tex=alpha_center_tga magic_red_tga 
FUN_005d3840	EF_StoneCurse	type=0x,4,	life=0xc	tex=alpha_center_tga magic_red_tga 
FUN_005d3a10	assasin_sonicblow	type=0x,9,	life=0xc	tex=magic_red_tga stone_bmp 
