12	EF_BEGINSPELL
16	EF_BASH
52	EF_WINDHIT
54	EF_BEGINSPELL2
55	EF_BEGINSPELL3
56	EF_BEGINSPELL4
57	EF_BEGINSPELL5
58	EF_BEGINSPELL6
59	EF_BEGINSPELL7
97	EF_FIREPILLARBOMB
119	EF_DETECTING
135	EF_ICECRASH
144	EF_BRANDISH2
152	EF_HOLYHIT
163	EF_SAKURA
169	EF_ENERGYCOAT
182	EF_MAGICALATTHIT
235	EF_DISPELL
245	EF_HOLYCROSS
314	EF_EXIT2
330	EF_HITLINE
376	EF_HITLINE2
428	EF_HITLINE3
429	EF_HITLINE4
430	EF_HITLINE5
431	EF_HITLINE6
435	EF_STORMKICK
441	EF_BLUECASTING
488	EF_FLOWERCAST
547	EF_STIN
548	EF_RED_HIT
549	EF_BLUE_HIT
585	EF_M03
597	EF_FOOD05
614	EF_THROWITEM8
615	EF_THROWITEM9
616	EF_THROWITEM10
618	EF_KOUENKA
699	EF_FLOWERLEAF
780	EF_DETECT4
981	EF_THROW_HAPPOKUNAI
982	EF_THROW_MULTIPLE_COIN
983	EF_THROW_BAKURETSU
984	EF_ROTATE_HUUMARANKA
985	EF_ROTATE_BG
986	EF_ROTATE_LINE_GRAY
989	EF_KAIHOU
990	EF_GROUND_EXPLOSION
991	EF_KG_KAGEHUMI
996	EF_KO_JYUMONJIKIRI
997	EF_KO_SETSUDAN
998	EF_RED_CROSS
999	EF_KO_IZAYOI
1000	EF_ROTATE_LINE_BLUE
1001	EF_KG_KYOMU
1002	EF_KO_HUUMARANKA
1008	EF_KAIHOU1
1009	EF_AKAITSUKI
1010	EF_ZANGETSU
1011	EF_GENSOU
